"state","party","year","votes"
"AK","dem",2008,123594
"AK","other",2008,8762
"AK","rep",2008,193841
"AL","dem",2008,813479
"AL","other",2008,19794
"AL","rep",2008,1266546
"AR","dem",2008,422310
"AR","other",2008,26290
"AR","rep",2008,638017
"AZ","dem",2008,1034707
"AZ","other",2008,28657
"AZ","rep",2008,1230111
"CA","dem",2008,8274473
"CA","other",2008,275646
"CA","rep",2008,5011781
"CO","dem",2008,1288576
"CO","other",2008,39196
"CO","rep",2008,1073589
"CT","dem",2008,997772
"CT","other",2008,19592
"CT","rep",2008,629428
"DC","dem",2008,245800
"DC","other",2008,2686
"DC","rep",2008,17367
"DE","dem",2008,255459
"DE","other",2008,4579
"DE","rep",2008,152374
"FL","dem",2008,4282074
"FL","other",2008,63046
"FL","rep",2008,4045624
"GA","dem",2008,1844123
"GA","other",2008,31590
"GA","rep",2008,2048759
"HI","dem",2008,325201
"HI","other",2008,7112
"HI","rep",2008,120429
"IA","dem",2008,828940
"IA","other",2008,25501
"IA","rep",2008,682379
"ID","dem",2008,236440
"ID","other",2008,15580
"ID","rep",2008,403012
"IL","dem",2008,3419348
"IL","other",2008,71844
"IL","rep",2008,2031179
"IN","dem",2008,1374039
"IN","other",2008,31357
"IN","rep",2008,1345648
"KS","dem",2008,514765
"KS","other",2008,21388
"KS","rep",2008,699655
"KY","dem",2008,751985
"KY","other",2008,26061
"KY","rep",2008,1048462
"LA","dem",2008,782989
"LA","other",2008,29497
"LA","rep",2008,1148275
"MA","dem",2008,1904097
"MA","other",2008,68034
"MA","rep",2008,1108854
"MD","dem",2008,1629467
"MD","other",2008,42264
"MD","rep",2008,959862
"ME","dem",2008,421823
"ME","other",2008,13967
"ME","rep",2008,295273
"MI","dem",2008,2872579
"MI","other",2008,80548
"MI","rep",2008,2048639
"MN","dem",2008,1573354
"MN","other",2008,61607
"MN","rep",2008,1275409
"MO","dem",2008,1441947
"MO","other",2008,37480
"MO","rep",2008,1445814
"MS","dem",2008,554662
"MS","other",2008,10606
"MS","rep",2008,724597
"MT","dem",2008,231667
"MT","other",2008,15679
"MT","rep",2008,242763
"NC","dem",2008,2142651
"NC","other",2008,39664
"NC","rep",2008,2128474
"ND","dem",2008,141278
"ND","other",2008,6742
"ND","rep",2008,168561
"NE","dem",2008,333319
"NE","other",2008,14983
"NE","rep",2008,452979
"NH","dem",2008,384826
"NH","other",2008,6251
"NH","rep",2008,316534
"NJ","dem",2008,2215422
"NJ","other",2008,39608
"NJ","rep",2008,1613207
"NM","dem",2008,472422
"NM","other",2008,10904
"NM","rep",2008,346832
"NV","dem",2008,533736
"NV","other",2008,15018
"NV","rep",2008,412827
"NY","dem",2008,4804701
"NY","other",2008,83211
"NY","rep",2008,2752728
"OH","dem",2008,2923134
"OH","other",2008,90218
"OH","rep",2008,2675009
"OK","dem",2008,502496
"OK","other",2008,0
"OK","rep",2008,960165
"OR","dem",2008,1037291
"OR","other",2008,52098
"OR","rep",2008,738475
"PA","dem",2008,3276363
"PA","other",2008,62889
"PA","rep",2008,2655885
"RI","dem",2008,373907
"RI","other",2008,9290
"RI","rep",2008,189315
"SC","dem",2008,862449
"SC","other",2008,23624
"SC","rep",2008,1034896
"SD","dem",2008,170924
"SD","other",2008,7997
"SD","rep",2008,203054
"TN","dem",2008,1087437
"TN","other",2008,33108
"TN","rep",2008,1479178
"TX","dem",2008,3528633
"TX","other",2008,69834
"TX","rep",2008,4479328
"UT","dem",2008,327670
"UT","other",2008,28670
"UT","rep",2008,596030
"VA","dem",2008,1959469
"VA","other",2008,38723
"VA","rep",2008,1725005
"VT","dem",2008,219262
"VT","other",2008,6810
"VT","rep",2008,98974
"WA","dem",2008,1750848
"WA","other",2008,56814
"WA","rep",2008,1229216
"WI","dem",2008,1676761
"WI","other",2008,43813
"WI","rep",2008,1262393
"WV","dem",2008,303857
"WV","other",2008,12039
"WV","rep",2008,397466
"WY","dem",2008,82868
"WY","other",2008,6832
"WY","rep",2008,164958
